tier,city,slug,county,electric_utility_verify,drive_time_from_parker_min,housing_notes,priority_services
1,Parker,parker-co,Douglas,CORE Electric Cooperative (verify),0,"Rapid growth 1995-2015; large share of 1990s-2000s builds now at 100A-150A service with 2 EVs; older Pinery/Ponderosa homes 1970s-80s","panel-upgrade,ev-charger-installation,emergency-electrician,outlet-repair"
1,Castle Rock,castle-rock-co,Douglas,CORE Electric Cooperative (verify),18,"Mix of historic downtown pre-1950 knob-and-tube risk and large post-2000 subdivisions; Founders Village, The Meadows","panel-upgrade,electrical-inspection,generator-installation,emergency-electrician"
1,Highlands Ranch,highlands-ranch-co,Douglas,CORE Electric Cooperative (verify),20,"Almost entirely 1980s-2000s master-planned; consistent stock; many original panels now 30-40 yrs old","panel-upgrade,ev-charger-installation,outlet-repair,electrical-inspection"
1,Lone Tree,lone-tree-co,Douglas,verify CORE vs Xcel,15,"Affluent, high EV adoption, larger homes, more smart-home and generator demand","ev-charger-installation,generator-installation,panel-upgrade,electrical-inspection"
1,Centennial,centennial-co,Arapahoe,verify Xcel vs CORE,22,"Broad range 1960s-2000s; 1960s-70s stock with aluminum branch wiring and Federal Pacific panels","panel-upgrade,electrical-inspection,outlet-repair,emergency-electrician"
2,Castle Pines,castle-pines-co,Douglas,verify,14,"Affluent, newer, HOA-heavy, generator and outdoor lighting demand","generator-installation,ev-charger-installation,panel-upgrade"
2,Aurora (south),south-aurora-co,Arapahoe,verify Xcel,20,"Large volume, mixed era, high emergency-repair demand","emergency-electrician,outlet-repair,panel-upgrade"
2,Littleton,littleton-co,Arapahoe/Jefferson,verify Xcel,28,"Older core, 1950s-70s stock, high inspection and rewiring demand","electrical-inspection,panel-upgrade,outlet-repair"
2,Greenwood Village,greenwood-village-co,Arapahoe,verify Xcel,24,"Affluent, large lots, landscape lighting and generator demand","generator-installation,ev-charger-installation,panel-upgrade"
2,Franktown,franktown-co,Douglas,CORE Electric Cooperative (verify),15,"Rural/acreage, well pumps, outbuildings, generator demand high","generator-installation,panel-upgrade,electrical-inspection"
2,Elizabeth,elizabeth-co,Elbert,CORE Electric Cooperative (verify),25,"Rural, acreage, longer outage exposure, barn and shop subpanels","generator-installation,panel-upgrade,electrical-inspection"
2,Sedalia,sedalia-co,Douglas,CORE Electric Cooperative (verify),25,"Rural, low density, CORE HQ located here","generator-installation,panel-upgrade"
3,Stonegate,parker-co/stonegate,Douglas,CORE (verify),4,"1990s-2000s, metro district, HOA design review","panel-upgrade,ev-charger-installation"
3,Stroh Ranch,parker-co/stroh-ranch,Douglas,CORE (verify),4,"1990s builds, consistent stock","panel-upgrade,outlet-repair"
3,Pradera,parker-co/pradera,Douglas,CORE (verify),10,"Golf community, larger custom homes, HOA design review","generator-installation,ev-charger-installation"
3,The Pinery,parker-co/the-pinery,Douglas,CORE (verify),9,"1970s-80s original stock; aging panels; treed lots, outage exposure","panel-upgrade,generator-installation,electrical-inspection"
3,Canterberry Crossing,parker-co/canterberry-crossing,Douglas,CORE (verify),5,"Late 1990s-2000s, golf community, HOA","panel-upgrade,outlet-repair"
