old_url,bucket,new_url,status,reason,impressions_90d,inlinks
/electrical-services-parker-co/,B,/electrical-services/,301,Single URL pattern per page type,,1
/residential-ev-charging-castle-rock/,C,/blog/residential-ev-charging-castle-rock/,301,Old WordPress blog post moved under /blog/ (client instruction 2026-09-10),,0
/denver-whole-home-surge-protection/,C,/blog/denver-whole-home-surge-protection/,301,Old WordPress blog post moved under /blog/ (client instruction 2026-09-10),,0
/signs-electrical-panel-services-aurora/,C,/blog/signs-electrical-panel-services-aurora/,301,Old WordPress blog post moved under /blog/ (client instruction 2026-09-10),,0
/home-electrical-safety-inspection-parker/,C,/blog/home-electrical-safety-inspection-parker/,301,Old WordPress blog post moved under /blog/ (client instruction 2026-09-10),,0
/professional-outdoor-lighting-centennial/,C,/blog/professional-outdoor-lighting-centennial/,301,Old WordPress blog post moved under /blog/ (client instruction 2026-09-10),,0
/emergency-electrical-repairs-highlands-ranch/,C,/blog/emergency-electrical-repairs-highlands-ranch/,301,Old WordPress blog post moved under /blog/ (client instruction 2026-09-10),,0
/about-us/,A,/about/,301,"Explicit 1:1 table planning/docs/09 §1.5. Pulled from live legacy sitemap 2026-09-11 (587 URLs, curl inventory in this commit).",,
/service-areas/,A,/service-area/,301,Explicit 1:1 table planning/docs/09 §1.5.,,
/request-a-quote/,A,/contact/,301,Explicit 1:1 table planning/docs/09 §1.5.,,
/privacy-policy-2/,A,/privacy-policy/,301,Explicit 1:1 table planning/docs/09 §1.5.,,
/how-we-work/,A,/about/,301,Explicit 1:1 table planning/docs/09 §1.5.,,
/team-members/,A,/about/,301,Explicit 1:1 table planning/docs/09 §1.5.,,
/faqs/,A,/,301,Explicit 1:1 table planning/docs/09 §1.5.,,
/gallery/,A,/reviews/,301,Explicit 1:1 table planning/docs/09 §1.5.,,
/sitemap/,A,/sitemap-page/,301,Explicit 1:1 table planning/docs/09 §1.5. HTML sitemap built same commit.,,
/locations.kml,D,,410,"Geo data file, not a page. No new-site equivalent. Gone, not redirected. Served by app/locations.kml/route.ts directly, not middleware.ts's goneSet (its matcher skips dotted paths).",,
/home-automation-aurora-co/,C,/home-automation/,301,One-off legacy URL outside the 10 known service-city patterns (different slug shape). Closest real match.,,
/smoke-detector-services-denver-co/,C,/smoke-detectors/,301,"One-off legacy URL outside the 10 known service-city patterns. Closest real match, never blanket to /.",,
/emergency-electrical-repairs-parker-co/,B,/emergency-electrical-repairs/,301,Single URL pattern per page type,,
/electrician-parker/,B,/electricians/parker-co/,301,Single URL pattern per page type,,
/electrician-castle-rock/,B,/electricians/castle-rock-co/,301,Single URL pattern per page type,,
/electrician-highlands-ranch/,B,/electricians/highlands-ranch-co/,301,Single URL pattern per page type,,
/electrician-lone-tree/,B,/electricians/lone-tree-co/,301,Single URL pattern per page type,,
/electrician-centennial/,B,/electricians/centennial-co/,301,Single URL pattern per page type,,
/electrician-the-pinery/,B,/electricians/the-pinery-co/,301,Single URL pattern per page type,,
/electrician-stonegate/,B,/electricians/stonegate-co/,301,Single URL pattern per page type,,
/electrician-castle-pines/,B,/electricians/castle-pines-co/,301,Single URL pattern per page type,,
/electrician-franktown/,B,/electricians/franktown-co/,301,Single URL pattern per page type,,
/electrician-elizabeth/,B,/electricians/elizabeth-co/,301,Single URL pattern per page type,,
/electrician-elbert/,B,/electricians/elbert-co/,301,Single URL pattern per page type,,
/electrician-foxfield/,B,/electricians/foxfield-co/,301,Single URL pattern per page type,,
/electrician-dove-valley/,B,/electricians/dove-valley-co/,301,Single URL pattern per page type,,
/electrician-aurora/,B,/electricians/aurora-co/,301,Single URL pattern per page type,,
/electrician-englewood/,B,/electricians/englewood-co/,301,Single URL pattern per page type,,
/electrician-littleton/,B,/electricians/littleton-co/,301,Single URL pattern per page type,,
/electrician-acres-green/,B,/electricians/acres-green-co/,301,Single URL pattern per page type,,
/electrician-greenwood-village/,B,/electricians/greenwood-village-co/,301,Single URL pattern per page type,,
/electrician-lakewood/,B,/electricians/lakewood-co/,301,Single URL pattern per page type,,
/electrician-edgewater/,B,/electricians/edgewater-co/,301,Single URL pattern per page type,,
/electrician-denver/,B,/electricians/denver-co/,301,Single URL pattern per page type,,
/electrician-sedalia/,B,/electricians/sedalia-co/,301,Single URL pattern per page type,,
/electrician-larkspur/,B,/electricians/larkspur-co/,301,Single URL pattern per page type,,
